CAFE INTERNET ZAEXPRESS;CALLE 19 SUR No 18 - 06;ANTONIO NARI�O;RESTREPO;Ciudad Bolivar;CL 19 SUR 18 06;4.584300306827053;-74.10202244427123
CABINAS TELEFONICAS TECNOVATAR;CARRERA 17 No 16 - 15 SUR;ANTONIO NARI�O;RESTREPO;Ciudad Bolivar;KR 17 16 15 SUR;4.585570781596507;-74.09972649536078
CAFE INTERNET SERVICIOS MEGA NET;CALLE 39A SUR No 34D - 51;ANTONIO NARI�O;VILLA MAYOR ORIENTAL;Perdomo;CL 39 A SUR 34 D 51;4.59323531226317;-74.1259383379475
PAPELERIA J.J.S.;CARRERA 27 NO 14 - 71 SUR;ANTONIO NARI�O;LA FRAGUA;Perdomo;KR 27 14 71 SUR;4.59328019067567;-74.105074875519
DROGUERIA HIPERDROGUERIA SAN ANTONIO;CALLE 4 SUR No 14B - 28;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;CL 4 SUR 14 B 28;4.590013363657046;-74.09320108777992
MISCELANEA Y PAPELERIA DONDE NANOS;CALLE 10B SUR No 18A - 32;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;CL 10 B SUR 18 A 32;4.58895579158717;-74.0974099014567
MISCELANEA Y PAPELERIA JORGE SALCEDO;AVENIDA CARACAS No 2 - 71 SUR;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;AV CARACAS 2 71 SUR;4.59008564900956;-74.0910903369151
PAPELERIA EL ENCANTO Y2;CALLE 7 SUR No 18 - 95 PISO 1;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;CL 7 SUR 18 95;4.590434490851032;-74.09646537730278
CAFE INTERNET BRANDON COMUNICACIONES;CARRERA 14B No 0 - 75 SUR;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;KR 14 B 0 75 SUR;4.591941427092443;-74.09139431863272
MISCELANEA ENVIA;CARRERA 22 No 1 - 57 SUR;ANTONIO NARI�O;LA FRAGUITA;Ciudad Bolivar;KR 22 1 57 SUR;4.593594111967159;-74.09681695777088
DISTRIBUIDARA EXPRESS LAUFER;CALLE 19 SUR No 24H - 40;ANTONIO NARI�O;RESTREPO OCCIDENTAL;Ciudad Bolivar;CL 19 SUR 24 H 40;4.58893779706033;-74.1064372251997
CAFE INTERNET COMPU MUNDO;CARRERA 28 No 14 - 04 SUR;ANTONIO NARI�O;LA FRAGUA;Perdomo;KR 28 14 04 SUR;4.594055482185166;-74.10463201561431
DISTRIBUIDORA DE ASEO VALENTINA;CALLE 9 SUR No 19 - 05 LOCAL 2;ANTONIO NARI�O;SAN ANTONIO;Ciudad Bolivar;CL 9 SUR 19 05;4.589850126946248;-74.09714202770759
CABINAS TELEFONICAS CLARITA;AVENIDA CARRERA 30 No 27A - 99 SUR;ANTONIO NARI�O;EDUARDO FREY;Perdomo;AK 30 27 A 99 SUR;4.593360223663786;-74.11448554986788
CAFE INTERNET CAD COMUNICACIONES;CALLE 19 SUR No 14 - 51;ANTONIO NARI�O;CIUDAD JARDIN SUR;Usme;CL 19 SUR 14 51;4.58157964510654;-74.0999920458172
PAPELERIA PRODUCTOS ONNI;CALLE 16 SUR No 16 - 88 LOCAL 103;ANTONIO NARI�O;RESTREPO;Ciudad Bolivar;CL 16 SUR 16 88;4.58547979917588;-74.0992829909531
PAPELERIA Y DETALLES DONDE ISAAC;CARRERA 22 No 14 - 12 SUR;ANTONIO NARI�O;RESTREPO;Ciudad Bolivar;KR 22 14 12 SUR;4.589037376624668;-74.10074860504304
SIN BOGOTA RESTREPO 2;CALLE  16 SUR No 18 - 49 LOCAL 212;ANTONIO NARI�O;RESTREPO;Ciudad Bolivar;CL 16 SUR 18 49;4.586259214569958;-74.1003659985373
CAFE INTERNET COMUNICACIONES LIYI;CALLE 63 SUR No 73 - 41;ANTONIO NARI�O;RESTREPO;Ciudad Bolivar;CL 63 SUR 73 41;4.586902812322254;-74.16936148817817
CAFE INTERNET KAREN MORALES;CARRERA 19 No 13A - 08 SUR;ANTONIO NARI�O;RESTREPO;Ciudad Bolivar;KR 19 13 A 08 SUR;4.587753986286588;-74.09921185670076
MINI MERCADO ESTEFANIA;CARRERA 16 No 17 - 25 SUR;ANTONIO NARI�O;RESTREPO;Ciudad Bolivar;KR 16 17 25 SUR;4.58411657434457;-74.0996798119423
CAFE INTERNET O H SERVINET;CALLE 20 SUR No 29C - 86;ANTONIO NARI�O;SANTANDER;Perdomo;CL 20 SUR 29 C 86;4.59427855688261;-74.1116546643785
MISCELANEA CACHARRERIA MADI;CALLE 35B SUR No 26F - 47;ANTONIO NARI�O;VILLA MAYOR ORIENTAL;Perdomo;CL 35 B SUR 26 F 47;4.58787982451223;-74.1203571087777
