700;311001000158;GIMNASIO COLOMBO ANDINO;GIMNASIO COLOMBO ANDINO;CL 43 B SUR # 72 U - 08;CL 43 B SUR 72 U 08;VAL DIR;4.6062203488262945;-74.1561107136294;VAL COORD
701;311001000352;COLEGIO ERNESTO GUHL;COLEGIO ERNESTO GUHL ;CL 42 G SUR # 87 G - 16;CL 42 G SUR 87 G 16;VAL DIR;4.633229962780212;-74.17238098589488;VAL COORD
702;311001000841;COLEGIO MONTFERRI;COLEGIO MONTFERRI;KR 77 # 9 - 44;KR 77 9 44;VAL DIR;4.641709150325577;-74.13920654932205;VAL COORD
703;311001001537;COLEGIO NUEVO LICEO PSICOPEDAGOGICO;COLEGIO NUEVO LICEO PSICOPEDAGOGICO;CL 35 C SUR # 73 F - 03;CL 35 C SUR 73 F 03;VAL DIR;4.621197347103072;-74.14809492034753;VAL COORD
704;311001002282;INSTITUTO FELIX RESTREPO;INSTITUTO FELIX RESTREPO;TV 78 C # 6 B - 08;TV 78 C 6 B 08;VAL DIR;4.6330949182512;-74.1474508922184;VAL COORD
705;311001004064;COLEGIO JAIME QUIJANO CABALLERO;COLEGIO JAIME QUIJANO CABALLERO;TV 78 B # 40 C - 41 SUR;TV 78 B 40 C 41 SUR;VAL DIR;4.619513594282666;-74.15452590477616;VAL COORD
706;311001004374;COLEGIO COOPERATIVO DE TIMIZA;COLEGIO COOPERATIVO DE TIMIZA;KR 72 M # 40 F - 18 SUR;KR 72 M 40 F 18 SUR;VAL DIR;4.608277019663505;-74.15053856153257;VAL COORD
707;311001005231;INSTITUTO MARSELLA;INSTITUTO MARSELLA;KR 70 # 7 A - 15;KR 70 7 A 15;VAL DIR;4.632306105584904;-74.13070171692434;VAL COORD
708;311001005681;COLEGIO ATENIENSE ;COLEGIO ATENIENSE ;KR 79 B # 41 A - 76 SUR;KR 79 B 41 A 76 SUR;VAL DIR;4.622006715968894;-74.15993757725698;VAL COORD
709;311001006423;COLEGIO SANTA LUISA;COLEGIO SANTA LUISA;KR 73 # 42 G 25 SUR;KR 73 42 G 25 SUR;VAL DIR;4.60852178992244;-74.1568543600563;VAL COORD
710;311001008523;GIMNASIO MILITAR FUERZA AEREA DE COLOMBIA;GIMNASIO MILITAR FUERZA AEREA DE COLOMBIA;CL 26 SUR # 78 H - 70;CL 26 SUR 78 H 70;VAL DIR;4.628230241957909;-74.14870946788209;VAL COORD
711;311001008990;COLEGIO SUPERIOR AMERICANO;COLEGIO SUPERIOR AMERICANO;KR 71 C # 3 A - 41;KR 71 C 3 A 41;VAL DIR;4.626269355408844;-74.13597110429635;VAL COORD
712;311001010366;COLEGIO MILITAR COOPERATIVO JUSTINIANO QUI�ONEZ ANGULO;COLEGIO MILITAR COOPERATIVO JUSTINIANO QUI�ONEZ ANGULO;CL 40 F SUR # 77 A - 11;CL 40 F SUR 77 A 11;VAL DIR;4.618179508026665;-74.15486110191372;VAL COORD
713;311001010382;COLEGIO PARROQUIAL SAN ANDRES APOSTOL ;COLEGIO PARROQUIAL SAN ANDRES APOSTOL ;TV 68 G # 44 - 31 SUR;TV 68 G 44 31 SUR;VAL DIR;4.59788502457943;-74.1439326296109;VAL COORD
714;311001010617;COLEGIO INTEGRACION MODERNA ;COLEGIO INTEGRACION MODERNA;CL 4 # 71 A - 41;CL 4 71 A 41;VAL DIR;4.626566719239967;-74.13466764261047;VAL COORD
716;311001016607;COLEGIO MANDALAY;COLEGIO MANDALAY;KR 75 # 3 - 34;KR 75 3 34;VAL DIR;4.626998287377494;-74.1443291468408;VAL COORD
718;311001017018;CENTRO EDUCATIVO FE Y ALEGRIA SAN LUIS GONZAGA;CENTRO EDUCATIVO FE Y ALEGRIA SAN LUIS GONZAGA;TV 78 C # 6 D - 49;TV 78 C 6 D 49;VAL DIR;4.635037167640746;-74.1460767111992;VAL COORD
719;311001017671;GIMNASIO NUEVA AMERICA;GIMNASIO NUEVA AMERICA;CL 40 H SUR # 73 A - 08;CL 40 H SUR 73 A 08;VAL DIR;4.612441262000864;-74.15368816794586;VAL COORD
