77;GHL CONFORT HOTEL EL BELVEDERE - INVERSIONES BELVEDERE LTDA;KR 17 A 100 16;KR 17 A 100 16;VAL DIR;4.686097829285935;-74.05019102846056;VAL COORD
80;HOTEL GRAND HOUSE;KR 18 93 97;KR 18 93 97;VAL DIR;4.67901987301168;-74.0540276948619;VAL COORD
82;HOTEL GHL HAMILTON COURT;KR 14 81 20;KR 14 81 20;VAL DIR;4.666827843773477;-74.0557164302568;VAL COORD
84;GHL CONFORT HOTEL LOS HEROES;CL 74 15 60;CL 74 15 60;VAL DIR;4.66140780648812;-74.0607256631403;VAL COORD
85;CASABLANCA 93;CL 93 18 11;CL 93 18 11;VAL DIR;4.677665101775399;-74.05418907161341;VAL COORD
86;HOTEL BOGOT� ROYAL SUITE;CL 53 10 78;CL 53 10 78;VAL DIR;4.6402403828859;-74.0648501615621;VAL COORD
88;HOTEL BH EL RETIRO;CL 80 10 11;CL 80 10 11;VAL DIR;4.663556976953078;-74.05333275137173;VAL COORD
89;HOTEL BH LA QUINTA;KR 5 74 52;KR 5 74 52;VAL DIR;4.65633633111083;-74.0527942857738;VAL COORD
90;CELEBRITIES SUITES - MODERNO PARK SA;CL 74 10 33;CL 74 10 33;VAL DIR;4.65833681639902;-74.0568140394249;VAL COORD
92;HOTEL CASA FALCON;CL 69 11 A 64;CL 69 11 A 64;VAL DIR;4.65529152143726;-74.06195712239253;VAL COORD
93;APARTAMENTOS LAGO 76;KR 15 76 15;KR 15 76 15;VAL DIR;4.66300408798037;-74.0591323841687;VAL COORD
95;HOTEL INTER BOGOT�;KR 3 20 17;KR 3 20 17;VAL DIR;4.60434296107741;-74.06779308861769;VAL COORD
96;HOTEL CLAUDIA DEL CENTRO;KR 8 17 66;KR 8 17 66;VAL DIR;4.6045733002779;-74.0728934888406;VAL COORD
98;HOTEL MONSERRAT SPA VITAL;KR 3 20 35;KR 3 20 35;VAL DIR;4.6044826064757345;-74.06782263228446;VAL COORD
101;CASA DE HUESPEDES SANTA MAR�A HOTEL;KR 45 24 B 09;KR 45 24 B 09;VAL DIR;4.635656040128162;-74.09394298183709;VAL COORD
103;HOTEL SOFITEL BOGOT� VICTORIA REGIA - PROMOTORA Y OPERADORA DE HOTELES PROMOTEL ;KR 13 85 80;KR 13 85 80;VAL DIR;4.6699749607195296;-74.05304044803746;VAL COORD
104;HOTEL ESTRELLA LA 23;CL 23 7 86;CL 23 7 86;VAL DIR;4.60945570232993;-74.0711084924018;VAL COORD
105;HOTEL MANILA PLAZA;CL 17 8 23;CL 17 8 23;VAL DIR;4.60413586353765;-74.07341334067;VAL COORD
106;HOTEL AMERICANO;CL 23 9 18;CL 23 9 18;VAL DIR;4.609741613899105;-74.07148290873496;VAL COORD
107;HOTEL EL DUQUE CENTRO INTERNACIONAL;CL 23 9 38;CL 23 9 38;VAL DIR;4.6097282694765;-74.0716529876058;VAL COORD
111;HOTEL EUROPA VIEJO;CL 23 13 30;CL 23 13 30;VAL DIR;4.610835893180261;-74.07349216875073;VAL COORD
115;GUN CLUB;KR 8 16 28;KR 8 16 28;VAL DIR;4.60334710755722;-74.0735739994679;VAL COORD
120;A MI REFUGIO CASA CULTURAL Y DE HUESPEDES ;KR 19 33 21;KR 19 33 21;VAL DIR;4.62219618468536;-74.0740506090667;VAL COORD
121;HOTEL LOS CERROS;CL 19 9 18;CL 19 9 18;VAL DIR;4.60657526903798;-74.0731521288616;VAL COORD
124;HOTEL DEL PARQUE SUPERIOR;KR 5 23 34;KR 5 23 34;VAL DIR;4.6082407901141025;-74.06803484485677;VAL COORD
125;HOTEL SAN FRANCISCO DE ASIS;KR 10 23 63;KR 10 23 63;VAL DIR;4.61046894768158;-74.0719497956009;VAL COORD
129;HOTEL LA SABANA;CL 23 5 23;CL 23 5 23;VAL DIR;4.60795530810613;-74.06899721207394;VAL COORD
132;HOTEL LIDO;CL 11 9 45 ;CL 11 9 45;VAL DIR;4.59958376760031;-74.0774215444839;VAL COORD
133;ABADIA COLONIAL (ROMA);CL 11 2 32;CL 11 2 32;VAL DIR;4.59564284995832;-74.0711058683924;VAL COORD
134;HOTEL DE LA OPERA - INVERSIONES LA OPERA S A;CL 10 5 72 ;CL 10 5 72;VAL DIR;4.59663481042018;-74.0746524676243;VAL COORD
136;ALEGRIA�S HOSTEL;CL 9 2 13;CL 9 2 13;VAL DIR;4.5936953374406;-74.0721269914488;VAL COORD
137;POSADA ANANDA MAYI;CL 9 2 81;CL 9 2 81;VAL DIR;4.59391738538796;-74.0727393541604;VAL COORD
142;HOTEL AMBAL� BOGOT� COLONIAL;KR 5 12 B 46;KR 5 12 B 46;VAL DIR;4.59917741331411;-74.0723001581338;VAL COORD
143;HOTEL INTERNACIONAL;KR 5 12 C 45;KR 5 12 C 45;VAL DIR;4.60013058268866;-74.071809932523;VAL COORD
144;HOSTAL SUE CANDELARIA;KR 3 12 C 18;KR 3 12 C 18;VAL DIR;4.59873438165656;-74.070077864709;VAL COORD
146;HOTEL EL DORADO;KR 4 12 D 02;KR 4 12 D 02;VAL DIR;4.60021057039525;-74.0704109230467;VAL COORD
147;HOSTAL SUE E.U.;CL 12 F 2 55;CL 12 F 2 55;VAL DIR;4.60005672488845;-74.0685206818192;VAL COORD
149;THE HOSTAL CRANKYCROC;CL 12 D 3 46;CL 12 D 3 46;VAL DIR;4.59976733453991;-74.0699703112193;VAL COORD
150;HOSTAL FATIMA;CL 12 C 2 24;CL 12 C 2 24;VAL DIR;4.59835941214084;-74.069395788142;VAL COORD
158;HABITEL;AC 26 100 97 ;AC 26 100 97;VAL DIR;4.688416605711878;-74.13100256025518;VAL COORD
159;GHL HOTEL CAPITAL;CL 25 B 69 A 50;CL 25 B 69 A 50;VAL DIR;4.65837952223408;-74.1082590864117;VAL COORD
160;HOTEL SHERATON BOGOT�;CL 25 B 69 C 80;CL 25 B 69 C 80;VAL DIR;4.66011662684884;-74.1093661583897;VAL COORD
161;HOTEL A.R.V.;CL 17 96 C 32;CL 17 96 C 32;VAL DIR;4.6685377288827805;-74.14219976398743;VAL COORD
163;HOTEL HYNTIVA;KR 98 17 36;KR 98 17 36;VAL DIR;4.671604952323523;-74.14418011624029;VAL COORD
165;HOTEL LOS CAMBULOS;KR 96 C 17 38;KR 96 C 17 38;VAL DIR;4.66814261296553;-74.14173322090745;VAL COORD
167;HOTEL ESCORIAL FONTIB�N EN SUCESI�N;CL 17 96 C 15;CL 17 96 C 15;VAL DIR;4.668114266599057;-74.14249879097787;VAL COORD
169;CASA BLANCA 98 HOTEL;CL 17 A 97 83;CL 17 A 97 83;VAL DIR;4.671656209651415;-74.14411294838078;VAL COORD
181;HOTEL FONTIB�N;CL 17 97 10;CL 17 97 10;VAL DIR;4.670919515264994;-74.1440506422697;VAL COORD
183;HOTEL RESIDENCIA ESPA�A;KR 7 23 20;KR 7 23 20;VAL DIR;4.60924152127126;-74.0702651038835;VAL COORD
184;HOSTAL BOGOT� REAL;CL 103 B 46 05;CL 103 B 46 05;VAL DIR;4.690880110637087;-74.05825315533667;VAL COORD
185;HOTEL DANN AV 19 - INVERSIONES SPIWAK LTDA;AV 19 5 72;AV 19 5 72;VAL DIR;4.60489940509539;-74.0706475237693;VAL COORD
188;HOTEL FERROVIAL;KR 40 22 59;KR 40 22 59;VAL DIR;4.62975623128618;-74.0946198206946;VAL COORD
189;HOTEL QUINTA PAREDES INN;KR 40 22 69;KR 40 22 69;VAL DIR;4.62980658563303;-74.094544934741;VAL COORD
193;NUEVO HOTEL TEUSAQUILLO;KR 16 28 A 24;KR 16 28 A 24;VAL DIR;4.61711788251417;-74.07315666527512;VAL COORD
196;HOSTAL DE FEDERMAN;KR 38 56 38;KR 38 56 38;VAL DIR;4.646496912777845;-74.08276384148242;VAL COORD
198;APARTAMENTOS GALERIAS 52;KR 30 52 38;KR 30 52 38;VAL DIR;4.64176468770484;-74.0787251431879;VAL COORD
199;HOTEL EMBAJADOR;CL 37 18 A 49;CL 37 18 A 49;VAL DIR;4.62607014069418;-74.073007287536;VAL COORD
200;HOTEL SUAMOX;CL 38 16 07;CL 38 16 07;VAL DIR;4.62641119266852;-74.07092313663456;VAL COORD
201;HOTEL INNOVA MASTER CENTRO INTERNACIONAL;CL 34 7 87;CL 34 7 87;VAL DIR;4.62173264357849;-74.0678157903833;VAL COORD
202;HOTEL VILLA KARINA;CL 30 17 47;CL 30 17 47;VAL DIR;4.61944355651343;-74.0739395367188;VAL COORD
203;HOTEL CAVIAR;KR 19 39 A 18;KR 19 39 A 18;VAL DIR;4.62851136339755;-74.0727103716373;VAL COORD
204;CASA KOLPING BOGOT�;KR 16 35 41;KR 16 35 41;VAL DIR;4.62463519944609;-74.07129661970083;VAL COORD
205;HOTEL AMERICAN DREAM AND EVENTS;AV 40 25 28;AV 40 25 28;VAL DIR;4.63250590002431;-74.089898339238;VAL COORD
206;HOTEL COLOMBIANS SUITE INTERNATIONAL;KR 43 A 24 C 06;KR 43 A 24 C 06;VAL DIR;4.63330731549824;-74.09183482291184;VAL COORD
207;HOTEL CASA AMERICANA;CL 24 D 44 A 73;CL 24 D 44 A 73;VAL DIR;4.635582274856369;-74.0930582473468;VAL COORD
208;HOTEL CASA LA EMBAJADA COLONIAL;KR 44 A 24 A 60;KR 44 A 24 A 60;VAL DIR;4.633973836219491;-74.09357347780018;VAL COORD
211;HOTEL CASA FORTEL;CL 22 B 44 C 09;CL 22 B 44 C 09;VAL DIR;4.633924439917265;-74.0959978466437;VAL COORD
215;HOTEL CASA LA EMBAJADA;CL 24 D 44 A 97;CL 24 D 44 A 97;VAL DIR;4.635836920134779;-74.09317829731604;VAL COORD
217;HOTEL SALITRE RUGAL;AC 24  40 71;AC 24 40 71;VAL DIR;4.63126582984367;-74.0932721004457;VAL COORD
218;HOTEL PLATINUM SUITE;AC 24 40 76;AC 24 40 76;VAL DIR;4.631848719334389;-74.09329588099203;VAL COORD
220;HOTEL SAN PABLO;CL 26 38 A 11;CL 26 38 A 11;VAL DIR;4.63287082346529;-74.0864272337882;VAL COORD
222;HOTEL CASA SANTA MARTA;KR 43 22 A 91;KR 43 22 A 91;VAL DIR;4.631403010732428;-74.09411972642732;VAL COORD
224;HOTEL TUR�STICO INTERNACIONAL GRAN AM�RICA;CL 24 32 86;CL 24 32 86;VAL DIR;4.62627874428667;-74.0859274066618;VAL COORD
228;SUITES EJECUTIVAS 57 INN;CL 57 18 25;CL 57 18 25;VAL DIR;4.64456882149137;-74.0695192757343;VAL COORD
231;SUITES INN GALERIAS;KR 23 53 A 43;KR 23 53 A 43;VAL DIR;4.642675551423438;-74.07344379901636;VAL COORD
232;HOTEL SIAR;KR 25 52 16;KR 25 52 16;VAL DIR;4.640998839397325;-74.07451966685517;VAL COORD
233;HOTEL PARKWAY;AK 24 39 B 32;AK 24 39 B 32;VAL DIR;4.6298520176731355;-74.0746581862949;VAL COORD
234;HOTEL LORD GALERIAS;KR 27 A 53 20;KR 27 A 53 20;VAL DIR;4.64251562174049;-74.07621530429614;VAL COORD
235;HOTEL EL CAMPIN (MAICHEL E HIJOPS CIS S EN C);KR 25 52 35;KR 25 52 35;VAL DIR;4.64126542830801;-74.07473010730594;VAL COORD
236;HOTEL EL CONDADO PLAZA BOGOT�;DG 53 D 23 18;DG 53 D 23 18;VAL DIR;4.6438454773737465;-74.07273129425259;VAL COORD
237;HOTEL SUITE BOGOT� COLONIAL UNO;CL 24 C 44 35;CL 24 C 44 35;VAL DIR;4.634464323095013;-74.0928984406321;VAL COORD
238;HOTEL SAN RAFAEL;AC 24 43 A 49;AC 24 43 A 49;VAL DIR;4.63246261114687;-74.0940761468892;VAL COORD
239;HOTEL SANTAF� REAL;AC 24 40 31;AC 24 40 31;VAL DIR;4.6309659205663;-74.0930703970179;VAL COORD
240;EMBASSY PARK HOTEL;AC 24 44 A 79;AC 24 44 A 79;VAL DIR;4.63402551812446;-74.0951425318282;VAL COORD
241;HOTEL ESTELAR DE LA FERIA;AC 24 43 A 85;AC 24 43 A 85;VAL DIR;4.63273279699449;-74.0942572683652;VAL COORD
242;VIAGGIO PARQUE 54 - INMOBILIRIARIA ROYAL S.A.S.;KR 4 54 24;KR 4 54 24;VAL DIR;4.639595418724661;-74.06046724676081;VAL COORD
243;VIAGGIO COUNTRY - INMOBILIRIARIA ROYAL S.A.S.;KR 15 85 55;KR 15 85 55;VAL DIR;4.67050356025731;-74.0551508052695;VAL COORD
244;VIAGGIO SALLE - INMOBILIRIARIA ROYAL S.A.S.;CL 61 5 75;CL 61 5 75;VAL DIR;4.64604671683617;-74.06049604381454;VAL COORD
245;VIAGGIO CENTRO FINANCIERO - INMOBILIRIARIA ROYAL S.A.S.;CL 62 3 A 50;CL 62 3 A 50;VAL DIR;4.6455573870000535;-74.0576016249999;VAL COORD
246;VIAGGIO STUDIOS - INMOBILIRIARIA ROYAL S.A.S.;CL 62 3 B 37;CL 62 3 B 37;VAL DIR;4.645562763808686;-74.05800463492933;VAL COORD
247;CASA HOTEL ZUETANA PI;CL 106 A 18 A 19;CL 106 A 18 A 19;VAL DIR;4.692895930419191;-74.04989304038091;VAL COORD
253;HOTEL PARQUE 97 SUITES;CL 97 19 15;CL 97 19 15;VAL DIR;4.683970625515122;-74.05273419130981;VAL COORD
254;SUITES REAL 97;CL 97 A 10 45;CL 97 A 10 45;VAL DIR;4.680256472806737;-74.04403222622109;VAL COORD
255;HOTEL DE LA VILLE;CL 100 13 55;CL 100 13 55;VAL DIR;4.68381185596163;-74.0464245697252;VAL COORD
257;HALIFAX;CL 93 15 93;CL 93 15 93;VAL DIR;4.67709486702192;-74.0526871165138;VAL COORD
258;RICHMOND SUITES;CL 93 18 81;CL 93 18 81;VAL DIR;4.677966349754274;-74.0547769050365;VAL COORD
259;HOTEL ESTELAR WINDSOR HOUSE;CL 95 9 97;CL 95 9 97;VAL DIR;4.67751344597304;-74.0434834131516;VAL COORD
261;HOTEL VIRREY PARK;KR 15 87 94;KR 15 87 94;VAL DIR;4.67251942084605;-74.0539570599122;VAL COORD
