CARRERA 10 NO 27 - 91 INTERIOR 117 TORRE B;KR 10 27 91
CALLE 93 A NO 12 - 55;CL 93 A 12 55
CENTRO COMERCIAL ANDINO PLAZA CARRERA 11 NO 82 - 71 LOCAL 347;KR 11 82 71
CARRERA 12 A NO 83 - 49;KR 12 A 83 49
CENTRO COMERCIAL GRAN ESTACION CALLE 26 NO 62 - 47 LOCAL 157-158;CL 26 62 47
CALLE 29 BIS NO 5 - 84;CL 29 BIS 5 84
AVENIDA JIMENEZ NO 4 - 80;AV JIMENEZ 4 80
CALLE 119 NO 6 - 16;CL 119 6 16
CARRERA 1 NO 93 - 50;KR 1 93 50
CARRERA 5 NO 71 - 45 LOCAL 104;KR 5 71 45
CARRERA 13 NO 28 - 01 LOCAL 173;KR 13 28 01
CENTRO COMERCIAL SAN MARTIN CARRERA 7 NO 32 - 16 LOCAL 409;KR 7 32 16
CALLE 69 A NO 5 - 09;CL 69 A 5 09
CALLE 93 A NO 11 A - 47;CL 93 A 11 A 47
CALLE 11 NO 5 - 60;CL 11 5 60
AVENIDA 19 NO 116 - 40;AV 19 116 40
CARRERA 9 NO 81 A - 09;KR 9 81 A 09
AVENIDA EL DORADO NO 68C - 61 LOCAL 1-24;AV EL DORADO 68 C 61
CARRERA 13 NO 27 - 98 LOCAL 241 CENTRO INTERNACIONAL;KR 13 27 98
CALLE 71 NO 10 - 73;CL 71 10 73
CARRERA 9 NO 10 - 59 ;KR 9 10 59
CARRERA 6 BIS 29 -  07;KR 6 BIS 29 07
CALLE 29 BIS NO 6 - 12;CL 29 BIS 6 12
CALLE 11 NO 2 - 16;CL 11 2 16
AVENIDA CALLE 39 NO 7 - 40 LOCAL 233;AC 39 7 40
KILOMETRO 19 AUTOPISTA NORTE;
CALLE 71 NO 9 -  21 / 39 LC 1  PLAZOLETA QUINTA DE CAMACHO;CL 71 9 21
CARRERA 6 NO 119  -  56;KR 6 119 56
CALLE 73 NO 10 - 83 LOCAL 6 Y 7;CL 73 10 83
CALLE 118 NO 6 A - 09;CL 118 6 A 09
CARRERA 13 NO 85 - 14;KR 13 85 14
CALLE 71 NO 5 - 10;CL 71 5 10
CARRERA 11 A NO 93 A - 46 LOCAL 101;KR 11 A 93 A 46
CARRERA 6 A NO 119 B 52;KR 6 A 119 B 52
CALLE 82 NO 12 - 21;CL 82 12 21
CARRERA 10 NO 27 - 51 LOCAL 174 EDIFICIO RESIDENCIAS TEQUENDAMA NORTE;KR 10 27 51
AVENIDA CALLE 26 NO 106 - 28 PUENTE AEREO  LOCAL 207;AC 26 106 28
AVENIDA 19 NO 97 - 05 LOCAL 1-2;AV 19 97 05
CARRERA 7 NO 70 - 94;KR 7 70 94
CENTRO COMERCIAL PLAZA DE LAS AMERICAS CARRERA 71 D NO 6 - 94 SUR LOCAL 2905;KR 71 D 6 94 SUR
AVENIDA CALLE 100 NO 8A - 55 LOCAL 140/41/42;AC 100 8 A 55
CARRERA 12 NO 83  -  47;KR 12 83 47
CALLE 93A NO 11 - 27;CL 93 A 11 27
CENTRO COMERCIAL SAN MARTIN CARRERA 7 NO 32 - 16 LOCAL 404;KR 7 32 16
CALLE 70 A NO 9 - 95;CL 70 A 9 95
