35;14485;Archies Zona Rosa;Calle 82 No 13 - 07 ;610 91 62 - ;Chapinero;www.archies.co;CL 82 13 07;4.666852982674992;-74.05513354936602
36;14486;Archies Quinta Camacho;Calle 69 A No 10 - 03 ;321 23 04 - ;Chapinero;www.archies.co;CL 69 A 10 03;4.65384490652502;-74.0597499393738
37;14490;Archies Calle 71;Calle 71 No 4 - 55;235 11 74 - 545 10 33;Chapinero;www.archies.co;CL 71 4 55;4.653056462811931;-74.05405956731677
38;14491;Archies Centro Internacional;Carrera 7 No 27 - 80;NR;Santafe;www.archies.co;KR 7 27 80;4.614779405486607;-74.06898958141628
39;14587;Restaurante Cali Mio No 11;Carrera 70 B No 25 - 47 Sur;260 52 82 - ;Kennedy;www.calimio.com.co;KR 70 B 25 47 SUR;4.615906736911955;-74.13669580421629
40;14588;Restaurante Cali Mio;Calle 85 No 16 - 48 Local 1;256 37 48 - ;Chapinero;www.calimio.com.co;CL 85 16 48;4.67069447375447;-74.0561703055668
41;14599;Bogota Beer Company S A;Carrera 12 No 83 - 33;742 92 92 Extension 3 Opcion 1 - ;Chapinero;www.bogotabeercompany.com;KR 12 83 33;4.667525818817786;-74.05343768551677
42;14601;Bogota Beer Company;Carrera 11 A No 93 A - 94 ;742 92 92 Extension 3 Opcion 3 - ;Chapinero;www.bogotabeercompany.com;KR 11 A 93 A 94;4.67672704573345;-74.0473345705932
43;14602;Bogota Beer Company;Carrera 6 No 119 - 24;742 92 92 Extension 3 Opcion 4 - ;Usaquen;www.bogotabeercompany.com;KR 6 119 24;4.695649479147173;-74.03016042171406
44;14603;Bogota Beer Company;Avenida 19 No 120 - 76;742 92 92 Extension 3 Opcion 2 - ;Usaquen;www.bogotabeercompany.com;AV 19 120 76;4.70130594161552;-74.0493263726227
45;14604;Bogota Beer Company;Calle 85 No 13  - 06;742 92 92 Extension 3 Opcion 6 - ;Chapinero;www.bogotabeercompany.com;CL 85 13 06;4.66925353470931;-74.0537220542426
46;14618;El Ovejo Cafe;Carrera 14 No 83 - 70 Piso 2;611 24 96 - ;Chapinero;NR;KR 14 83 70;4.66870905569606;-74.054705979222
47;14630;Restaurante Wok;Carrera 9  69A -  63;212 01 67 - ;Chapinero;www.wok.com.co;KR 9 69 A 63;4.653516924538012;-74.0588210691481
