39;316001;CAVIF;KR 13 18 34;KR 13 18 34;VAL DIR;4.60739998559364;-74.0756313304154;VAL COORD
40;317001;CAIVAS;DG 34 5 18;DG 34 5 18;VAL DIR;4.620838548285613;-74.06513119577168;VAL COORD
41;880001;Centro Amar Chapinero;CL 59 6 24;CL 59 6 24;VAL DIR;4.6441616867476;-74.0612030663115;VAL COORD
42;880002;Centro Amar Corabastos;AK 80 43 43 SUR;AK 80 43 43 SUR;VAL DIR;4.62093443971396;-74.1664300191861;VAL COORD
43;980003;Centro Amar Fontibon;KR 123 A 17 F 56;KR 123 A 17 F 56;VAL DIR;4.6894193280437895;-74.15723945124459;VAL COORD
44;1880004;Centro Amar Rafael Uribe;TV 5 Q 48 J 24 SUR;TV 5 Q 48 J 24 SUR;VAL DIR;4.558086477910832;-74.11388912034506;VAL COORD
45;1480005;Centro Amar Martires I;KR 15 BIS 18 37;KR 15 BIS 18 37;VAL DIR;4.60877854322715;-74.0775324739235;VAL COORD
46;1480006;Centro Amar Martires II;CL 22 D 17 24;CL 22 D 17 24;VAL DIR;4.61335218944277;-74.07687617229091;VAL COORD
47;1780007;Centro Amar Candelaria;CL 9 3 57;CL 9 3 57;VAL DIR;4.59456709820252;-74.0733865325005;VAL COORD
48;480008;Centro Amar San Cristobal;CL 31 C SUR 0 25 ESTE;CL 31 C SUR 0 25 ESTE;VAL DIR;4.561207568643703;-74.0937166535371;VAL COORD
49;580009;Centro Amar Usme;KR 1 A ESTE 75 26 SUR;KR 1 A ESTE 75 26 SUR;VAL DIR;4.51449452910285;-74.11473178288821;VAL COORD
50;1180010;Centro Amar Suba;KR 100 A 137 A 05;KR 100 A 137 A 05;VAL DIR;4.73885814027697;-74.0941718672382;VAL COORD
51;190001;Centro Crecer Usaqu�n;CL 165 7 38;CL 165 7 38;VAL DIR;4.741572809891373;-74.02313402617061;VAL COORD
52;390004;Centro Crecer La Victoria;CL 32 A SUR 7 32 ESTE;CL 32 A SUR 7 32 ESTE;VAL DIR;4.557735938029539;-74.08687359188755;VAL COORD
53;590005;Centro Crecer Tejares;KR 2 ESTE 75 A 22 SUR;KR 2 ESTE 75 A 22 SUR;VAL DIR;4.51460711285475;-74.1111423430122;VAL COORD
54;690006;Centro Crecer Tunjuelito;DG 53 SUR 59 57;DG 53 SUR 59 57;VAL DIR;4.58488311180003;-74.1479896767361;VAL COORD
55;790007;Centro Crecer Bosa;KR 81 C 68 A 24 SUR;KR 81 C 68 A 24 SUR;VAL DIR;4.61062382128751;-74.1919372935997;VAL COORD
56;990009;Centro Crecer  Fontib�n;CL 22 F 106 28;CL 22 F 106 28;VAL DIR;4.68128969326156;-74.1441565317297;VAL COORD
57;1090010;Centro Crecer Engativ�;KR 70 48 29;KR 70 48 29;VAL DIR;4.6641939076706;-74.1086572031597;VAL COORD
58;1190011;Centro Crecer La Gaitana;KR 125 B 131 A 10;KR 125 B 131 A 10;VAL DIR;4.739439875353375;-74.10898028292875;VAL COORD
59;1190012;Centro Crecer  Rinc�n;KR 95 A 130 81;KR 95 A 130 81;VAL DIR;4.729322455062316;-74.09320652761275;VAL COORD
60;1890013;Centro Crecer Rafael Uribe;CL 31 G SUR 15 63;CL 31 G SUR 15 63;VAL DIR;4.574564397385505;-74.1106080726125;VAL COORD
61;1490014;Centro Crecer M�rtires;AC 1 24 B 26;AC 1 24 B 26;VAL DIR;4.594852971336349;-74.09766897687003;VAL COORD
62;1490015;Centro Crecer Arborizadora Alta;KR 21 63 08 SUR;KR 21 63 08 SUR;VAL DIR;4.56530844930013;-74.14535824469137;VAL COORD
63;390003;Centro Crecer La Paz;CL 65 A 1 60;CL 65 A 1 60;VAL DIR;4.646696367371051;-74.05441099552102;VAL COORD
