111001000132;COLEGIO AQUILEO PARRA (IED);AQUILEO PARRA;KR 18 A # 187 - 67;KR 18 A 187 67;4.76525149060685;-74.0392223575436
111001029955;COLEGIO AGUSTIN FERNANDEZ (IED);AGUSTIN FERNANDEZ;KR 7 # 155 - 20;KR 7 155 20;4.73035928053929;-74.0238459322481
111001029955;COLEGIO AGUSTIN FERNANDEZ (IED);SAN BERNARDO;KR 1 A # 161 - 24;KR 1 A 161 24;4.73347804650026;-74.01841377950717
111001029955;COLEGIO AGUSTIN FERNANDEZ (IED);SANTA CECILIA ALTA;KR 1 ESTE # 163 - 60;KR 1 ESTE 163 60;4.73486712386925;-74.0164156835616
111001044806;COLEGIO FRIEDRICH NAUMANN (IED);FRIEDRICH NAUMANN;AK 7 # 171 B - 26;AK 7 171 B 26;4.749339980093834;-74.02273077275983
111001044806;COLEGIO FRIEDRICH NAUMANN (IED);EL CODITO;CL 182 # 6 - 30;CL 182 6 30;4.758674794392753;-74.02515451612437
111001046957;COLEGIO TOBERIN (IED);TOBERIN;CL 166 # 16 C - 15;CL 166 16 C 15;4.74542847658578;-74.0393190276737
111001046957;COLEGIO TOBERIN (IED);BABILONIA;KR 14 C # 164 - 75;KR 14 C 164 75;4.743059251629058;-74.0359182382903
111001046957;COLEGIO TOBERIN (IED);LAS ORQUIDEAS;KR 17 # 163 A - 22;KR 17 163 A 22;4.742956489612278;-74.04027852336168
111001086681;COLEGIO NUEVO HORIZONTE (IED);HORIZONTE;KR 3 # 186 B - 04;KR 3 186 B 04;4.762975122908161;-74.02310467585899
111001086681;COLEGIO NUEVO HORIZONTE (IED);NUEVO HORIZONTE;KR 5 B # 189 B - 30;KR 5 B 189 B 30;4.766796059837052;-74.02559440599676
111001086681;COLEGIO NUEVO HORIZONTE (IED);BUENAVISTA;CL 190 # 4 - 15;CL 190 4 15;4.766854503440261;-74.02456777886724
111001098612;COLEGIO DON BOSCO III (CED);COLEGIO DON BOSCO III (CED);KR 4 # 187 B - 37;KR 4 187 B 37;4.76445478071678;-74.0241562070586
111001102059;COLEGIO UNION COLOMBIA (IED);SANTA CLAUDIA;CL 189 # 7 - 05;CL 189 7 05;4.765437236740601;-74.02799747707319
111001102059;COLEGIO UNION COLOMBIA (IED);PILOTO DE APLICACION;KR 7 A # 182 A - 07;KR 7 A 182 A 07;4.759388207127239;-74.02765305580881
111001107743;COLEGIO SALUDCOOP NORTE (IED);SALUDCOOP NORTE;CL 181 # 18 B - 83;CL 181 18 B 83;4.757649489335598;-74.0415552463237
111848000911;COLEGIO DE BACHILLERATO PATRIA;COLEGIO DE BACHILLERATO PATRIA;CL 100 # 11 - 00;CL 100 11 00;4.68286502942365;-74.0432676816687
111848001046;FUNDACION LA ENSE�ANZA;FUNDACION LA ENSE�ANZA;KR 7 A # 186 - 63;KR 7 A 186 63;4.763496269778685;-74.0284758583196
