1;Hamburguesas el Corral Aeropuerto;Aeropuerto Eldorado, Tercel Nivel  Local 101;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
3;Oma Barra de Cafe Aeropuerto Muelle Nacional;Aeropuerto Nuevo Dorado Muelle Nacional Sur Local 91;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
4;MC Donalds Aeropuerto;Aeropuerto El Dorado Local 2346 - 2347;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
5;Kokoriko Puente Aereo;Puente Aereo  Local  L-2 209 Aeropuerto;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
66;Restaurante Casa San Isidro;Paseo Bolivar No 21 - 48 Este Estacion Funicular;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
67;Restaurante Casa Santa Clara;Paseo Bolivar No 21 - 48 Este Estacion Funicular;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
68;Cafe De Monserrate;Cerro de Monserrate –Estacion del Funicular;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
108;El Portico;Kilometro 19 Autopista Norte;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
131;Frisby G49;Aeropuerto El Dorado Local 1330;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
268;Crepes & Waffles;Nuevo Aeropuerto Eldorado Local 4 Nivel Hall Publico ;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
275;Hamburguesas el Corral Exito Villa Mayor;Autopista Sur No 38 A - 07 Local 113;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
344;Kokorico Natural Rotisserie;Aeropuerto El Dorado T 1 Hall Publico P 3 FIB 3 Local T 1 008;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
389;Presto Nuevo Dorado;Aeropuerto Eldorado, T2 Zona Internacional;;NOT VALID DIR;ERR LAT;ERR LON;NOT VALID COORD
28;Crepes & Waffles;Carrera 12A No 83  -  40;KR 12 A 83 40;VAL DIR;4.667674813161353;-74.05361145649843;VAL COORD
27;Crepes & Waffles;Avenida Calle 13 No 4 - 55;AC 13 4 55;VAL DIR;4.60067263938946;-74.0705075668309;VAL COORD
29;Crepes & Waffles;Calle 93B No 12  -  28 Local 101;CL 93 B 12 28;VAL DIR;4.677504832417166;-74.04834002395368;VAL COORD
30;Archies Usaquen;Carrera 6 A No 119 - 01;KR 6 A 119 01;VAL DIR;4.695733866090773;-74.03113477138162;VAL COORD
31;Archies Pepe Sierra;Calle 116 No 17 - 13;CL 116 17 13;VAL DIR;4.69727653135356;-74.046365460087;VAL COORD
32;Archies Chico;Carrera 15 No 96 - 67;KR 15 96 67;VAL DIR;4.6823960109801;-74.0491331966833;VAL COORD
33;Archies Calle 93;Calle 93 A No 11 - 49;CL 93 A 11 49;VAL DIR;4.67576136511546;-74.0474303408506;VAL COORD
34;Archies Andino;Centro Comercial Andino Plaza Carrera 11 No 82 - 71 Piso 4 Local 406 ;KR 11 82 71;VAL DIR;4.66628727998579;-74.0527013691487;VAL COORD
35;Archies Zona Rosa;Calle 82 No 13 - 07 ;CL 82 13 07;VAL DIR;4.666852982674992;-74.05513354936602;VAL COORD
36;Archies Quinta Camacho;Calle 69 A No 10 - 03 ;CL 69 A 10 03;VAL DIR;4.65384490652502;-74.0597499393738;VAL COORD
37;Archies Calle 71;Calle 71 No 4 - 55;CL 71 4 55;VAL DIR;4.653056462811931;-74.05405956731677;VAL COORD
38;Archies Centro Internacional;Carrera 7 No 27 - 80;KR 7 27 80;VAL DIR;4.614779405486607;-74.06898958141628;VAL COORD
39;Restaurante Cali Mio No 11;Carrera 70 B No 25 - 47 Sur;KR 70 B 25 47 SUR;VAL DIR;4.615906736911955;-74.13669580421629;VAL COORD
40;Restaurante Cali Mio;Calle 85 No 16 - 48 Local 1;CL 85 16 48;VAL DIR;4.67069447375447;-74.0561703055668;VAL COORD
41;Bogota Beer Company S A;Carrera 12 No 83 - 33;KR 12 83 33;VAL DIR;4.667525818817786;-74.05343768551677;VAL COORD
43;Bogota Beer Company;Carrera 6 No 119 - 24;KR 6 119 24;VAL DIR;4.695649479147173;-74.03016042171406;VAL COORD
42;Bogota Beer Company;Carrera 11 A No 93 A - 94 ;KR 11 A 93 A 94;VAL DIR;4.67672704573345;-74.0473345705932;VAL COORD
44;Bogota Beer Company;Avenida 19 No 120 - 76;AV 19 120 76;VAL DIR;4.70130594161552;-74.0493263726227;VAL COORD
45;Bogota Beer Company;Calle 85 No 13  - 06;CL 85 13 06;VAL DIR;4.66925353470931;-74.0537220542426;VAL COORD
46;El Ovejo Cafe;Carrera 14 No 83 - 70 Piso 2;KR 14 83 70;VAL DIR;4.66870905569606;-74.054705979222;VAL COORD
47;Restaurante Wok;Carrera 9  69A -  63;KR 9 69 A 63;VAL DIR;4.653516924538012;-74.0588210691481;VAL COORD
49;Restaurante Wok;Avenida 19  No 118 - 75;AV 19 118 75;VAL DIR;4.70020971138676;-74.0498347156527;VAL COORD
48;Restaurante Wok;Carrera 13  No 82 - 74;KR 13 82 74;VAL DIR;4.66746536890273;-74.0545637451921;VAL COORD
50;Restaurante Wok;Calle 93B No 12 - 28;CL 93 B 12 28;VAL DIR;4.677504832417166;-74.04834002395368;VAL COORD
51;La Biferia;Calle 69 No 5 - 61;CL 69 5 61;VAL DIR;4.65117929136493;-74.0561416033105;VAL COORD
52;Restaurante La Brasserie;Carrera 13 No 85 - 35;KR 13 85 35;VAL DIR;4.66944082246876;-74.0536200625282;VAL COORD
53;Restaurante Patria;Calle 83 No 12A - 11;CL 83 12 A 11;VAL DIR;4.667391194954562;-74.05428319105258;VAL COORD
54;Restaurante Dilucca;Carrera 13 No 85 - 32;KR 13 85 32;VAL DIR;4.669481248192435;-74.0533271627641;VAL COORD
55;Restaurante Niko Cafe;Carrera 13 No 83 - 48;KR 13 83 48;VAL DIR;4.66805969059623;-74.0542304246021;VAL COORD
56;Restaurante Museo del Oro;Calle 16 No 5 - 41;CL 16 5 41;VAL DIR;4.60191393574091;-74.0717574389091;VAL COORD
58;La Fragata Restaurante Giratorio;Calle 100 No 8 A - 55 Piso 12;CL 100 8 A 55;VAL DIR;4.6811721589181;-74.0412271476979;VAL COORD
59;Fish Market La Fragata Zona T;Carrera 13 No 83 - 18;KR 13 83 18;VAL DIR;4.667828972520734;-74.05423637085298;VAL COORD
60;Apolos Men;Calle 85 No 11 - 18;CL 85 11 18;VAL DIR;4.66800774067971;-74.0515778134937;VAL COORD
57;La Fragata Internacional;Carrera  13 No 27 - 98 Piso 2;KR 13 27 98;VAL DIR;ERR LAT;ERR LON;NOT VALID COORD
61;Cotidiano Cafe Brasserie;Centro Comercial Andino Plaza Carrera 11 No 82 - 71 Local 402;KR 11 82 71;VAL DIR;4.66628727998579;-74.0527013691487;VAL COORD
62;Salto del Angel;Carrera 13 No 93 A - 45;KR 13 93 A 45;VAL DIR;4.677348062334457;-74.04922145136467;VAL COORD
