IDENTIFICADOR;NOMBRE;DIRECCION;CATEGORIA;TELEFONO;BARRIO_OFICIAL;POLIGONO_BARRIAL;CODIGO LOCALIDAD;LOCALIDAD;UPZ;CODIGO UPZ
832016;Las Voces de los Niños (El Rubi);KR 78 M 57 H 12 SUR;Jardín Infantil ACUNAR;3153126700;EL RUBI;El Rubí de Kennedy;8;Kennedy;Timiza;48
832017;Creadores de Sueños (Boita);KR 72 L BIS N 48 B 51 SUR;Jardín Infantil ACUNAR;3115472875;BOITA;Boita I Sector;8;Kennedy;Timiza;48
1132018;Iguanita Azul;CARRERA 92 157 21;Jardín Infantil ACUNAR;SIN INFORMACION;SALITRE SUBA;Horizonte Salitre;11;Suba;Suba;27
1232019;La Ciudad que Soñamos;KR 22 63 D 16;Jardín Infantil ACUNAR;3102800501;MUEQUETA;Muequeta;12;Barrios Unidos;Los Alcázares;98
1832020;Lunita del Saber;KR 2 B 48 Y 22 SUR;Jardín Infantil ACUNAR;SIN INFORMACION;DIANA TURBAY;Diana Turbay;18;Rafael Uribe;Diana Turbay;55
1132021;La Ranita Dorada;CL 127 F 93 55;Jardín Infantil ACUNAR;SIN INFORMACION;LOS NARANJOS;Palma Aldea;11;Suba;El Rincón;28
732022;Cuidapolis;KR 78 M 58 K 15 SUR;Jardín Infantil ACUNAR;SIN INFORMACION;JOSE ANTONIO GALAN;JosÚ Antonio Galßn;7;Bosa;Bosa Central;85
1632023;Aserrin Aserran;CL 9 SUR 35 A 4;Jardín Infantil ACUNAR;SIN INFORMACION;REMANSO;Santa Matilde II Sector;16;Puente Aranda;Ciudad Montes;40
732024;Taller de Las Mariposas;KR 80 C 65 F 29 SUR;Jardín Infantil ACUNAR;SIN INFORMACION;JIMENEZ DE QUESADA II SECTOR;JimÚnez De Quesada;7;Bosa;Bosa Central;85
1032025;Engativa II;CL 64 D 113 B 49;Jardín Infantil ACUNAR;SIN INFORMACION;Villa Gladys;S.C. Villa Gladys;10;Engativá;Engativa;74
232026;Casa de Hadas;CL 96 A 6 37 ESTE;Jardín Infantil ACUNAR;3167422646;;San Luís Altos del Cabo;2;Chapinero;San Isidrio-Patios;89
832027;La Casita de Los Bebes;KR 78 J 39 A 03 SUR;Jardín Infantil ACUNAR;4061263;Ciudad Kennedy Central;Ciudad Kennedy Supermanzana 8;8;Kennedy;Kennedy Central;47
732031;Creciendo felices/La ruta de nuestros sueños;KR 87 57 B 36 SUR;Jardín Infantil ACUNAR;3202182700;ESCOCIA;;7;Bosa;Bosa Occidental;84
1332032;Lugar de Recreo Casa Palermo;CL 45 C 24  42;Jardín Infantil ACUNAR;3017835900;PALERMO;;13;Teusaquillo;Galerías;100
1832033;Castillos del Contry (Sueños y Sonrisas);CL 27 A SUR 11 A 23;Jardín Infantil ACUNAR;;SOSIEGO SUR;;18;Rafael Uribe;San José;36
532034;Copito de nieve;KR 17 ESTE  No 87 C 25 SUR;Jardín Infantil ACUNAR;3118546998;JUAN JOSE RONDON I;;5;Usme;La Flora;52
632035;Espiguita Dorada;AK 16 B 51 24 SUR;Jardín Infantil ACUNAR;3153975140;Tunjuelito;;6;Tunjuelito;Tunjuelito;62
532036;Gran Yomasa;KR 1 A ESTE 75 20 SUR;Jardín Infantil ACUNAR;3145197880;;;5;Usme;Gran Yomasa;57
1632038;Salacuna Primavera y Gorgonzola;CL 4 D 40 55;Jardín Infantil ACUNAR;3511990;Primavera Occidental;Primavera Occidental;16;Puente Aranda;Ciudad Montes;40
832039;Brisas de alegrìa;CL 41 SUR 94 12;Jardín Infantil ACUNAR;;CIUDAD DE CALI;;8;Kennedy;Patio Bonito;82
932040;Villa Andrea;CL 17 C 134 70;Jardín Infantil ACUNAR;3866028-3002012580;Puente Grande;;9;Fontibón;Fontibón San Pablo;76
1232041;Barquito de Casacanuez (J Vargas);KR 64 67 D 58;Jardín Infantil ACUNAR;3208992820;;;12;Barrios Unidos;Doce de Octubre;22
1132042;La Tingua;KR 145 B 139 15;Jardín Infantil ACUNAR;3102890890;;;11;Suba;Tibabuyes;71
832043;Juegos y aventuras;KR 98 A 42 13 SUR;Jardín Infantil ACUNAR;;LOS ALMENDROS;;8;Kennedy;Patio Bonito;82
532044;Nelson Mandela;KR 1 102 02 SUR;Jardín Infantil ACUNAR;;USMINIA;;5;Usme;Comuneros;58
732045;Sonrisas de la Niñez;CL 60 SUR 87 31;Jardín Infantil ACUNAR;3133675470;Bosa Nova el Porvenir;Bosa Nova;7;Bosa;Bosa Occidental;84
932046;El Principito;KR 100  23 22;Jardín Infantil ACUNAR;;San Jose de Fontibon;Veracruz_II Sector;9;Fontibón;Fontibón;75
1132047;Mariposas Amarillas;KR 152 A 138 D 11;Jardín Infantil ACUNAR;3143120600;Sabana De Tibabuyes Norte;Rincón de Santa Inés Compartir Suba;11;Suba;Tibabuyes;71
732048;El Vagón del Búho;CL 63 SUR 77 L 51;Jardín Infantil ACUNAR;SIN INFORMACION;Gualoche;La Estación;7;Bosa;Bosa Central;85
632049;Rosita Encantada;KR 19 56 A 73 SUR;Jardín Infantil ACUNAR;3203574490;San Carlos;San Benito;6;Tunjuelito;Tunjuelito;62
1932050;Alegrias del Sur;CL 69 SUR 54 13;Jardín Infantil ACUNAR;;Sierra Morena;Sierra Morena;19;Ciudad Bolívar;Ismael Perdomo;69
832051;CASTILLO DE COLORES;Carrera 98 A 41 - 13 Sur;Jardín Infantil ACUNAR;;ALMENDROS;;8;Kennedy;Patio Bonito 82;0
832052;MANITAS Y PINCELADAS CREATIVAS;CLL 38 A SUR 90 A - 56;Jardín Infantil ACUNAR;;RIVERAS DE OCCIDENTE;;8;Kennedy;PATIO BONITO;0
332055;Con-Jugando;KR 13 1 B 31;Jardín Infantil ACUNAR;;San Bernardino;San_Bernardo;3;Santa Fe;Las Cruces;95
1132056;El Castorcito;CL 134 A 150 B 3;Jardín Infantil ACUNAR;;Lisboa;San Pedro de Tibabuyes;11;Suba;Tibabuyes;71
532057;La Aurora;KR 3 69 D 35 SUR;Jardín Infantil ACUNAR;;La Aurora;La Aurora;5;Usme;Gran Yomasa;57
832059;La Lucerna;CL 38 D SUR 72 Q 91;Jardín Infantil ACUNAR;;Provivienda Occidental;Lucerna;8;Kennedy;Carvajal;45
532060;Francesco Tonucci;KR 6 F ESTE 107 55 SUR;Jardín Infantil ACUNAR;;Puerta Al Llano De Usme;El Uval II Sector;5;Usme;Alfonso Lopez;59
832061;Forjadores de Paz;KR 91 BIS 26 3 SUR;Jardín Infantil ACUNAR;;Calandamia;Calandamia;8;Kennedy;Calandamia;79
1910001;Casa de Teja Enanito Saltarin;CL 75 A SUR 17 A 61;Jardín Infantil C.V.;7618369;Sotavento;Rincón del Diamante;19;Ciudad Bolívar;El Tesoro;68
110002;San Antonio Norte;KR 7 A 182 A 81;Jardín Infantil C.V.;6793099;El Rocio Norte;San Antonio Norte;1;Usaquén;Verbenal;9
110003;Tibabita;AC 191 8 38;Jardín Infantil C.V.;6743865;Tibabita;Urb. El Palmar;1;Usaquén;Verbenal;9
110004;Horizontes;KR 3 A 183 A 15;Jardín Infantil C.V.;6749895;Horizontes Norte;Horizontes;1;Usaquén;Verbenal;9
110005;Santa Cecilia;KR 5 A 164 A 3;Jardín Infantil C.V.;6682035;Bosque De Pinos;Santa Cecilia Parte Baja;1;Usaquén;San Cristóbal Norte;11
110007;Orquideas;CL 161 16 B 33;Jardín Infantil C.V.;6680541;Estrella Del Norte;Villa Magdala;1;Usaquén;Toberin;12
310009;Santa Rosa de Lima;CL 1 D 6 3 ESTE;Jardín Infantil C.V.;2336180;El Rocio;Santa Rosa De Lima;3;Santa Fe;Lourdes;96
310010;Goticas de Rocio;CL 3 5 B 54 ESTE;Jardín Infantil C.V.;3339442;El Rocio;Rocío Parte Baja;3;Santa Fe;Lourdes;96
410011;La Peninsula;CL 47 SUR 1 3;Jardín Infantil C.V.;2071903;Canada O Guira;La Península;4;San Cristóbal;Los Libertadores;51
410012;Villa de La Paz;KR 9 A ESTE 62 35 SUR;Jardín Infantil C.V.;3654500;La Belleza;La Belleza;4;San Cristóbal;Los Libertadores;51
410013;Alex y Nieves;DG 59 SUR 16 25 ESTE;Jardín Infantil C.V.;3652276;San Rafael Usme;San Rafael Sur Oriental;4;San Cristóbal;Los Libertadores;51
410014;San Miguel;CL 44 SUR 3 82 ESTE;Jardín Infantil C.V.;2079827;La Gloria Occidental;La Gloria;4;San Cristóbal;La Gloria;50
410015;Guacamayas (Mi Pequeño Paraiso);CL 37 A SUR 3 84;Jardín Infantil C.V.;2075591;Guacamayas III;Las Guacamayas;4;San Cristóbal;La Gloria;50
410016;San Isidro Los Cariñositos;CL 35 A SUR 6 A 15;Jardín Infantil C.V.;3613803;Las Lomas;San Isidro_II;4;San Cristóbal;20 de Julio;34
410018;Republicade Canada;TV 12 B ESTE 55 A 98 SUR;Jardín Infantil C.V.;3651493;Los Libertadores;Los Libertadores;4;San Cristóbal;Los Libertadores;51
410020;Juan Rey;CL 71 SUR 13 B 22 ESTE;Jardín Infantil C.V.;3653199;Juan Rey (La Paz);Juan Rey;4;San Cristóbal;Los Libertadores;51
410021;San Martin de Loba;CL 42 SUR 1 51 ESTE;Jardín Infantil C.V.;3672191;San Martin Sur;San Martín de Loba;4;San Cristóbal;La Gloria;50
510022;Serranias;KR 1 G ESTE 81 36 SUR;Jardín Infantil C.V.;2004767;Serranias;Serranías;5;Usme;Gran Yomasa;57
510024;Marichuela;CL 77 A SUR 14 C 32;Jardín Infantil C.V.;7621635;Marichuela;Marichuela;5;Usme;Gran Yomasa;57
510025;Gran Yomasa;KR 3 A ESTE 82 14 SUR;Jardín Infantil C.V.;7641279;Gran Yomasa;Gran Yomasa;5;Usme;Gran Yomasa;57
510026;Tenerife;CL 91 B SUR 1 10;Jardín Infantil C.V.;7620931;Monteblanco;Tenerife;5;Usme;Comuneros;58
510027;Nueva Esperanza Olivares;KR 4 B ESTE 75 B 80 SUR;Jardín Infantil C.V.;7684733;La Cabana;Olivares;5;Usme;Gran Yomasa;57
510028;Pebles y Bam Bam;CL 76 B SUR 1 G 8 ESTE;Jardín Infantil C.V.;2005102;La Andrea;Almirante Padilla;5;Usme;Gran Yomasa;57
510029;La Flora;KR 11 C ESTE 74 A 7 SUR;Jardín Infantil C.V.;9136649;Juan Rey Sur;La Flora;5;Usme;La Flora;52
510030;Puerta al Llano;KR 7 D ESTE 113 60 SUR;Jardín Infantil C.V.;7682679;Puerta Al Llano De Usme;Puerta al Llano;5;Usme;Alfonso López;59
510031;Lorenzo Alcantuz;DG 102 SUR 3 B 57 ESTE;Jardín Infantil C.V.;7612223;Usminia;Lorenzo Alcantuz I Sector;5;Usme;Comuneros;58
510032;Fiscala;CL 63 SUR 4 C 16 ESTE;Jardín Infantil C.V.;7733171;La Fiscala Norte;La Fiscala Norte;5;Usme;Danubio;56
510033;Alaska;KR 3A ESTE 67 11 SUR;Jardín Infantil C.V.;2005520;Serranias I;El Rubí_;5;Usme;Danubio;56
510034;Nevado;CL 68 C SUR 2 12 ESTE;Jardín Infantil C.V.;7642293;El Nevado;S.C. El Nevado;5;Usme;Gran Yomasa;57
510035;Casa Loma;TV 8 ESTE 84 D 15 SUR;Jardín Infantil C.V.;7620116;San Felipe De Usme;Casaloma_;5;Usme;Gran Yomasa;57
510036;Comuneros Asvecom - Usme;KR 5 A ESTE 95 96 SUR;Jardín Infantil C.V.;76410 68;Comuneros;Comuneros;5;Usme;Comuneros;58
510037;Chuniza;KR 1 G ESTE 90 12 SUR;Jardín Infantil C.V.;7620116;Chuniza;Chuniza I;5;Usme;Comuneros;58
610038;Isla del Sol;CL 67 B SUR 63 15;Jardín Infantil C.V.;7107374;Isla Del Sol;Isla del Sol;6;Tunjuelito;Venecia;42
710040;La Cabaña;KR 90 B 56 G 20 SUR;Jardín Infantil C.V.;7232063;La Cabana;La Cabaña y La Suerte;7;Bosa;El Porvenir;86
710041;Pequeños Gigantes;KR 89 52 B 61 SUR;Jardín Infantil C.V.;7846041;Brasil;El Porvenir_Sector Brasil;7;Bosa;Bosa Occidental;84
710043;Olarte;KR 71 D 54 15 SUR;Jardín Infantil C.V.;7827258;Olarte;Olarte;7;Bosa;Apogeo;49
710046;Humberto Valencia;KR 82 71 A 35 SUR;Jardín Infantil C.V.;7776094;Paso Ancho;Humberto Valencia II Sector;7;Bosa;Bosa Central;85
710047;Villa Clemencia;KR 86 A 57 C 47 SUR;Jardín Infantil C.V.;7833582;Escocia;El Paraíso__;7;Bosa;Bosa Occidental;84
710048;La Escuelita;CL 61 B SUR 84 B 12;Jardín Infantil C.V.;7851603;La Paz Bosa;La Paz II Sector;7;Bosa;Bosa Occidental;84
710049;Los Bulliciosos;KR 87 I 65 19 SUR;Jardín Infantil C.V.;7233534;Chico Sur;La_Estanzuela;7;Bosa;Bosa Occidental;84
710050;La Libertad;KR 87 M 59 1 SUR;Jardín Infantil C.V.;7845712;Escocia;La Libertad Sector Magnolia;7;Bosa;Bosa Occidental;84
710051;Israelita;KR 78 C 73 B 15 SUR;Jardín Infantil C.V.;7796090;Jose Maria Carbonel;El Llano Sector Fandino;7;Bosa;Bosa Central;85
510052;Santa Marta;CL 68 C SUR 1 80 ESTE;Jardín Infantil C.V.;7626700;Barranquillita;Santa Martha;5;Usme;Gran Yomasa;57
710053;Nuevo Chile;CL 56 SUR 73 A 12;Jardín Infantil C.V.;7795130;Cementerio Jardines Apogeo;Nuevo Chile;7;Bosa;Apogeo;49
710054;Bosanova;KR 87 BIS 59 C 20 SUR;Jardín Infantil C.V.;7846341;Bosa Nova El Porvenir;Bosa Nova;7;Bosa;Bosa Occidental;84
810055;Nuestra Señora de Guadalupe el Paraiso;CL 39 SUR 89 C 37;Jardín Infantil C.V.;5715082;El Paraiso;El Paraíso_;8;Kennedy;Patio Bonito;82
810056;Tintalito;KR 86 B 42 F 3 SUR;Jardín Infantil C.V.;2735795;Tintalito;Tintalito;8;Kennedy;Patio Bonito;82
810057;Risitas Infantiles Patio Bonito-Jugando Aprendiendo;KR 86 D 39 A 5 SUR;Jardín Infantil C.V.;4515118;Patio Bonito II;Patio Bonito I Sector;8;Kennedy;Patio Bonito;82
810058;La Unidad;CL 57 D SUR 77 I 85;Jardín Infantil C.V.;7771690;La Cecilia;La Unidad;8;Kennedy;Timiza;48
810059;Perpetuo Socorro / Mi Pequeño Mundo;CL 50 SUR 78 18;Jardín Infantil C.V.;4542908;Jacqueline;Perpetuo Socorro;8;Kennedy;Timiza;48
810060;Amas de Casa Jackeline;KR 77 Q 45 A 11 SUR;Jardín Infantil C.V.;2640746;Jacqueline;Jacqueline;8;Kennedy;Timiza;48
810061;Alqueria la Fragua;KR 68 A 36 25 SUR;Jardín Infantil C.V.;7134701;Alqueria La Fragua Norte;Alquería de la Fragua;8;Kennedy;Carvajal;45
810062;Britalia;CL 55 SUR 80 J 17;Jardín Infantil C.V.;2738582;Gran Britalia;Gran Britalia;8;Kennedy;Gran Britalia;81
810063;Fundecom Mi Primera Comunidad;KR 81 56 75 SUR;Jardín Infantil C.V.;7779205;Class;Class;8;Kennedy;Gran Britalia;81
810064;Class;CL 57 B SUR 80 H 15;Jardín Infantil C.V.;7192346;Class;Class;8;Kennedy;Gran Britalia;81
1110065;Timanquitos;CL 133 BIS 126 37;Jardín Infantil C.V.;6898131;La Gaitana;La Gaitana;11;Suba;Tibabuyes;71
1110066;Nuevos Timanquitos;KR 125 B 132 B 51;Jardín Infantil C.V.;6979144;Tibabuyes;La Gaitana;11;Suba;Tibabuyes;71
1110067;Comuneros Norte;CL 140 A 111 B 30;Jardín Infantil C.V.;5361972;Puerta Del Sol;Los Comuneros Puerta del Sol;11;Suba;El Rincón;28
1110069;San Cayetano;KR 93 F 127 B 46;Jardín Infantil C.V.;5369132;Rincon De Suba;San Cayetano;11;Suba;El Rincón;28
1110070;La Chucua;CL 131 C 100 44;Jardín Infantil C.V.;6828096;Aures;Chucua III Sector;11;Suba;El Rincón;28
1810071;Castillo de Sueños;CL 50 C SUR 11 B 22;Jardín Infantil C.V.;7692712;El Playon;Play¾n La Playita;18;Rafael Uribe;Marruecos;54
1810072;Los Principitos;Carrera 5 A BIS A # 48 P - 84 SUR;Jardín Infantil C.V.;7694685;MOLINOS DEL SUR;Marruecos;18;Rafael Uribe;Marruecos;54
1810073;Granjas de San Pablo;KR 14 B 33 3 SUR;Jardín Infantil C.V.;3610418;Granjas San Pablo;El Triunfo Sur;18;Rafael Uribe;Marco Fidel Suárez;53
1910074;JJ Rondon Alto de La Cruz;TV 22 68 K 22 SUR;Jardín Infantil C.V.;7313035;Juan Jose Rondon;Juan JosÚ Rondon_;19;Ciudad Bolívar;San Francisco;66
1910075;J.J. Rondon Niño Jesus;KR 22 68 C 05 SUR;Jardín Infantil C.V.;7182518;Millan;Millßn los Sauces;19;Ciudad Bolívar;San Francisco;66
710079;Antonia Santos;CL 67 SUR 81 B 10;Jardín Infantil C.V.;7760975;Paso Ancho;S.C. Paso Ancho;7;Bosa;Bosa Central;85
1910080;La Casona;KR 20 C 68 B 48 SUR;Jardín Infantil C.V.;7189263;Juan Jose Rondon;Juan JosÚ Rondon_;19;Ciudad Bolívar;San Francisco;66
1810084;Las Lomas;DG 38 F SUR 11 B 25;Jardín Infantil C.V.;3728423;San Luis;Las Lomas;18;Rafael Uribe;San José;36
1910085;El Tesoro;CL 78 SUR 18 B 78;Jardín Infantil C.V.;7904397;Cedritos Del Sur;El Tesoro;19;Ciudad Bolívar;El Tesoro;68
1910086;Estrella del Sur;KR 18 G 72 15 SUR;Jardín Infantil C.V.;7921082;Estrella Del Sur;Estrella del Sur;19;Ciudad Bolívar;Lucero;67
1910087;Estrella del Mañana;KR 18Q 71 15 SUR;Jardín Infantil C.V.;7900546;Cordillera Del Sur;Tierra Linda;19;Ciudad Bolívar;Lucero;67
1910088;Santa Rosita Las Vegas;TV 49 C 75 A 60 SUR;Jardín Infantil C.V.;7187901;Las Brisas;JerusalÚn las Brisas;19;Ciudad Bolívar;Jerusalem;70
1910089;Manuela Beltran Mis Pequeñas Travesuras;KR 45C 69 15 SUR;Jardín Infantil C.V.;7316638;Jerusalen;Manuela_Beltrßn;19;Ciudad Bolívar;Jerusalem;70
1910091;Cartagena de Indias;CL 70 SUR 56 4;Jardín Infantil C.V.;;Sierra Morena;Sierra Morena;19;Ciudad Bolívar;Ismael Perdomo;69
1910092;Barlovento;CL 62 B SUR 71 H 24;Jardín Infantil C.V.;7808587;Barlovento;Urb._Barlovento;19;Ciudad Bolívar;Ismael Perdomo;69
1910093;Mi Refugio;TV 74 C 62 15 SUR;Jardín Infantil C.V.;7786626;La Primavera I;La Estancia;19;Ciudad Bolívar;Ismael Perdomo;69
1910094;La Estancia mis Primeras Letras;KR 75 H 59 A 18 SUR;Jardín Infantil C.V.;7777763;La Estancia;La Estancia;19;Ciudad Bolívar;Ismael Perdomo;69
1910095;Huellas Magicas;CL 60 A SUR 76 B 18;Jardín Infantil C.V.;7801461;Primavera II;San Isidro II;19;Ciudad Bolívar;Ismael Perdomo;69
1910097;Los Niños Traviesos;KR 18 M 63 D 15 SUR;Jardín Infantil C.V.;7651293;Gibraltar Sur;Domingo Lain I;19;Ciudad Bolívar;Lucero;67
1910098;Manitas;CL 70 B SUR 18 J 39;Jardín Infantil C.V.;7920490;Juan Pablo II;Las Manitas;19;Ciudad Bolívar;Lucero;67
710099;Mi Segundo Hogar;KR 77 K 65 J 5 SUR;Jardín Infantil C.V.;7771076;La Estacion Bosa;San Pablo II Sector;7;Bosa;Bosa Central;85
133001;Huellas con Ternura;KR 18 185 A 04;Jardin Infantil Cupo Cofinanciado C.C.;5269963;El Vervenal;Los Consuelos;1;Usaquén;Verbenal;9
133002;Contador - el Jardin;CL 135 16  43;Jardin Infantil Cupo Cofinanciado C.C.;;El Contador;El Contador;1;Usaquén;Los Cedros;13
333003;Centro Social Nueva Vida - Aldea;KR 6 3 44;Jardin Infantil Cupo Cofinanciado C.C.;2335590;Santa Barbara;Santa Bßrbara;3;Santa Fe;Las Cruces;95
433004;Avesol;Diagonal 34 A SUR # 2 - 27 ESTE;Jardin Infantil Cupo Cofinanciado C.C.;6066348;Atenas;Atenas;4;San Cristóbal;20 de Julio;34
433005;La Casita de Los Rincones;CL 8 SUR 9 26;Jardin Infantil Cupo Cofinanciado C.C.;2339964;Narino Sur;Nariño Sur;4;San Cristóbal;Sosiego;33
433006;Pepaso II;KR 11 B ESTE 43 A 54 SUR;Jardin Infantil Cupo Cofinanciado C.C.;2066502;Altamira;Altamira Chiquita;4;San Cristóbal;La Gloria;50
433008;Castillo San Lucas;DG 40 A SUR 11 86 ESTE;Jardin Infantil Cupo Cofinanciado C.C.;7829464;San Jose Sur Oriental;S.C. San JosÚ Sur Oriental;4;San Cristóbal;La Gloria;50
533010;Maria Micaela;KR 17 D ESTE 87 19 SUR;Jardin Infantil Cupo Cofinanciado C.C.;3651716;Juan Jose Rondon I;Juan JosÚ Rondon;5;Usme;La Flora;52
533011;Chaminade Voz de Alerta;DG 53 F SUR 1 9 ESTE;Jardin Infantil Cupo Cofinanciado C.C.;2057412;La Paz;La Fiscala Sector Daza;5;Usme;Danubio;56
633012;El Inicio del Saber;KR 19 54 19 SUR;Jardin Infantil Cupo Cofinanciado C.C.;2798488;San Carlos;San Carlos;6;Tunjuelito;Tunjuelito;62
633013;Pinturitas Proactivas;KR 37 50 A 40 SUR;Jardin Infantil Cupo Cofinanciado C.C.;2382625;Fatima;Fßtima;6;Tunjuelito;Venecia;42
633014;El Rincon de La Alegria;DG 50 SUR 59 A 93;Jardin Infantil Cupo Cofinanciado C.C.;7105278;Nuevo Muzu;Rinc¾n de Venecia;6;Tunjuelito;Venecia;42
733016;Jardin La Estacion;CL 65 C SUR 78 C 17;Jardin Infantil Cupo Cofinanciado C.C.;7751663;Gualoche;San Judas La Estaci¾n;7;Bosa;Bosa Central;85
733017;Acepta el Cambio;CL 65 C SUR 78 C 31;Jardin Infantil Cupo Cofinanciado C.C.;7814559;Gualoche;San Judas La Estaci¾n;7;Bosa;Bosa Central;85
733018;Semillas de Esperanza (San Bernardino);KR 87 B 80 40 SUR;Jardin Infantil Cupo Cofinanciado C.C.;5713425;El Remanso;S.C. El Remanso;7;Bosa;Tintal Sur;87
733019;Independencia;CL 78 SUR 88 F 8;Jardin Infantil Cupo Cofinanciado C.C.;5768191;El Remanso I;San Bernardino;7;Bosa;Tintal Sur;87
733021;San Angel;KR 87 Q 70 73 SUR;Jardin Infantil Cupo Cofinanciado C.C.;4822303;La Independencia;El Recuerdo;7;Bosa;Bosa Occidental;84
733022;San Pedro;KR 82 C 73 F 67 SUR;Jardin Infantil Cupo Cofinanciado C.C.;5779452;Gran Colombiano;San Pedro_;7;Bosa;Bosa Central;85
833023;Fundacion Pepaso;CL 42 A SUR 99 16;Jardin Infantil Cupo Cofinanciado C.C.;5702886;Los Almendros;Los Almendros;8;Kennedy;Patio Bonito;82
833024;Asrio;CL 40 SUR 96 4;Jardin Infantil Cupo Cofinanciado C.C.;5726118;Galan;Ciudad Galßn;8;Kennedy;Patio Bonito;82
833025;Arco Iris de Amor;KR 78 J 39 15 SUR;Jardin Infantil Cupo Cofinanciado C.C.;4061263;Ciudad Kennedy Central;Ciudad Kennedy Supermanzana 8;8;Kennedy;Kennedy Central;47
833026;Mis Primeros Trazos;KR 87 D 39 10 SUR;Jardin Infantil Cupo Cofinanciado C.C.;3103432981;Patio Bonito II;Patio Bonito I Sector;8;Kennedy;Patio Bonito;82
833027;Vegas de Santa Ana Fundaver;DG 57 D SUR 81 J 7;Jardin Infantil Cupo Cofinanciado C.C.;7147452;La Paz Bosa;S C. La Paz Bosa;8;Kennedy;Gran Britalia;81
833028;Vergel Occidental - Amigos de Jesus y Maria;KR 81 B 15 A 30;Jardin Infantil Cupo Cofinanciado C.C.;4110526;Vergel Occidental;Andalucía II Sector;8;Kennedy;Castilla;46
833029;Ciudad Roma - Show Kids;CL 57 B SUR 79 24;Jardin Infantil Cupo Cofinanciado C.C.;7522986;Roma;Roma - Bertha Hernßndez De Ospina I y III;8;Kennedy;Timiza;48
933030;Semillas de Grandeza;CL 17 F 136 A 27;Jardin Infantil Cupo Cofinanciado C.C.;4216185;Puente Grande;Prados de la Alameda;9;Fontibón;Fontibón San Pablo;76
933031;El Rubi;CL 22 J 96 I 44;Jardin Infantil Cupo Cofinanciado C.C.;2982238;Ferrocaja Fontibon;Oviedo;9;Fontibón;Fontibón;75
933032;Emmanuel;CL 23 B 103 B 81;Jardin Infantil Cupo Cofinanciado C.C.;4152035;La Cabana Fontibon;La Giralda II Sector;9;Fontibón;Fontibón;75
933033;Fontibon Centro;CL 16 J 97 27;Jardin Infantil Cupo Cofinanciado C.C.;2670291;El Carmen Fontibon;Centro Fontib¾n;9;Fontibón;Fontibón;75
933034;Atahualpa;KR 112 A 22 I 16;Jardin Infantil Cupo Cofinanciado C.C.;2987950;Versalles Fontibon;Atahualpa;9;Fontibón;Fontibón;75
933035;San Pablo - Manitos Unidas;KR 136 16 18;Jardin Infantil Cupo Cofinanciado C.C.;4210421;Kasandra;Kasandra;9;Fontibón;Zona Franca;77
933036;Versalles;KR 112 23 B 30;Jardin Infantil Cupo Cofinanciado C.C.;4787095;Versalles Fontibon;Internacional;9;Fontibón;Fontibón;75
1033037;Caritas de Amor;KR 122 A 63 L 44;Jardin Infantil Cupo Cofinanciado C.C.;4349859;Engativa Zona Urbana;S.C. Engativa Zona Urbana;10;Engativá;Engativa;74
1033038;Pepitos Proactivos;KR 121 65 A 9;Jardin Infantil Cupo Cofinanciado C.C.;4317443;Engativa Zona Urbana;S.C. Engativa Zona Urbana;10;Engativá;Engativa;74
1033039;Lujan;CL 64 C 74 20;Jardin Infantil Cupo Cofinanciado C.C.;2517462;El Encanto;El Encanto;10;Engativá;Santa Cecilia;31
1033040;Anton Pirulero;CL 70 109 A 5;Jardin Infantil Cupo Cofinanciado C.C.;2295598;San Antonio Engativa;Villas del Dorado San Antonio;10;Engativá;Garcés Navas;73
1033041;Mamá Canguro;CL 89 BIS 89 A 67;Jardin Infantil Cupo Cofinanciado C.C.;4302310;Quirigua Oriental;S.C. Primavera;10;Engativá;El Minuto de Dios;29
1033042;La Florida;CL 68 A 91 17;Jardin Infantil Cupo Cofinanciado C.C.;4901787;Florida Blanca;Florida Blanca;10;Engativá;Boyacá Real;30
1033043;Sebas;CL 65 A 74 90;Jardin Infantil Cupo Cofinanciado C.C.;4344475;El Real;El Real;10;Engativá;Santa Cecilia;31
1033044;Villa Mary;CL 67 A 110 B 25;Jardin Infantil Cupo Cofinanciado C.C.;4319922;San Antonio Urbano;Villa Mary;10;Engativá;Engativa;74
1133045;Hogar San Mauricio;KR 80 172 A 90;Jardin Infantil Cupo Cofinanciado C.C.;6709850;San Jose De Bavaria;San JosÚ De Bavaria;11;Suba;San José de Bavaria;17
1133046;Funandes Rincon;CL 127 F 93 C 55;Jardin Infantil Cupo Cofinanciado C.C.;6815409;Rincon De Suba;San Cayetano;11;Suba;El Rincón;28
1133047;Fundacion Cran;TV 77 162 6;Jardin Infantil Cupo Cofinanciado C.C.;6813599;Casablanca Suba;S.C Casablanca Suba;11;Suba;Casa Blanca Suba;23
1133048;Piedra Verde;KR 136 A 133 40;Jardin Infantil Cupo Cofinanciado C.C.;6906600EXT. 136;Toscana;Urb. Piedra Verde;11;Suba;Tibabuyes;71
1133049;Fana;KR 96 156 B 18;Jardin Infantil Cupo Cofinanciado C.C.;6815037;Salitre Suba;Arcabuco;11;Suba;Suba;27
1133050;Celestin Freinet Aures;CL 130 F 99 56;Jardin Infantil Cupo Cofinanciado C.C.;6836614;Aures;Aures I;11;Suba;El Rincón;28
