145001;Hogar Sagrado Corazon;CL 117 5 A 14;Albergue Adulto Mayor C.C.;6191889;Usaquen;Usaqu�n;CL 117 5 A 14;4.694115279091748;-74.030646389614
145002;Hogar San Francisco;CL 117 6 A 22;Albergue Adulto Mayor C.C.;2155584;Usaquen;Usaqu�n;CL 117 6 A 22;4.694592443839215;-74.03190560999559
645003;Hogar Casa Nostra;DG 50 A SUR 26 80;Albergue Adulto Mayor C.C.;2301052;El Carmen;Tunjuelito;DG 50 A SUR 26 80;4.579974573564474;-74.13474629209982
945004;Hogar Santa Teresa Jornet;KR 97 22 G 64;Albergue Adulto Mayor C.C.;6273148;Ferrocaja Fontibon;Fontib�n;KR 97 22 G 64;4.67610025956751;-74.1380018970522
1041002;Bosque Popular;KR 69 47 43;Albergue Adulto Mayor SDIS;2630949;Jardin Botanico;Engativ�;KR 69 47 43;4.6607954969344725;-74.10467896180212
260001;Chapinero;CL 50 A 13 58;Atenci�n a Personas en Prostituci�n;2494833;Marly;Chapinero;CL 50 A 13 58;4.6379802704578905;-74.0660269004545
860002;Kennedy;KR 74 42 G 52 SUR;Atenci�n a Personas en Prostituci�n;4528362;Timiza A;Kennedy;KR 74 42 G 52 SUR;4.609017653272149;-74.15819162667877
1460003;Los Martires;DG 22 B BIS 20 51;Atenci�n a Personas en Prostituci�n;2448978;Santa Fe;Los M�rtires;DG 22 B BIS 20 51;4.61730535163344;-74.0807010565543
360004;Santa Fe;KR 2 4 10;Atenci�n a Personas en Prostituci�n;2465631;Lourdes;Santa Fe;KR 2 4 10;4.44543407606164;-74.1560043598676
1242013;Teusaquillo;AK 19 32 A 20;Atenci�n al Adulto Mayor;;Teusaquillo;Teusaquillo;AK 19 32 A 20;4.621469660742601;-74.07391103907662
142001;Usaquen;CL 165 7 38;Atenci�n al Adulto Mayor;6709098;Santa Teresa;Usaqu�n;CL 165 7 38;4.741572809891373;-74.02313402617061
242002;Chapinero;CL 50 A 13 58;Atenci�n al Adulto Mayor;2494678;Marly;Chapinero;CL 50 A 13 58;4.6379802704578905;-74.0660269004545
342003;Santafe - Candelaria;KR 2 4 10;Atenci�n al Adulto Mayor;2892602;Lourdes;Santa Fe;KR 2 4 10;4.44543407606164;-74.1560043598676
542005;Usme - Sumapaz;AC 91 SUR 3 C 34 ESTE;Atenci�n al Adulto Mayor;7685865;Charala;Usme;AC 91 SUR 3 C 34 ESTE;4.50140006757026;-74.1096894008225
642006;Tunjuelito;DG 47 A SUR 53 92;Atenci�n al Adulto Mayor;7696933;Venecia;Tunjuelito;DG 47 A SUR 53 92;4.59309191910064;-74.1411310254152
742007;Bosa;CL 73 SUR 81 B 10;Atenci�n al Adulto Mayor;7802711;Gran Colombiano;Bosa;CL 73 SUR 81 B 10;4.611146571433985;-74.19704270587242
842008;Kennedy;CL 38 SUR 94 C 29;Atenci�n al Adulto Mayor;4528215;Galan;Kennedy;CL 38 SUR 94 C 29;4.64577340603798;-74.1713094113848
942009;Fontibon;KR 104 B 22 J 15;Atenci�n al Adulto Mayor;4181948;La Cabana Fontibon;Fontib�n;KR 104 B 22 J 15;4.6819765480389215;-74.14173386116015
1142011;Suba;KR 91 146 C 15;Atenci�n al Adulto Mayor;6921232;Suba Urbano;Suba;KR 91 146 C 15;4.74092069763429;-74.0842818701484
1242012;Barrios Unidos;KR 58 67 D 31;Atenci�n al Adulto Mayor;2509877;Popular Modelo;Barrios Unidos;KR 58 67 D 31;4.66986581547793;-74.0810575015435
